Serial Floating Division: 1-bit sign, 8-bit exponent, and 23-bit mantissa with 19909 cycles and 139 cells total.
Supports only signed numbers.

Inputs:
	 xs (1-bit): 0 
T3690:	135 = NOR(50, 92)
T3691:	136 = INIT1
T3692:	136 = NOR(134, 129)
T3693:	133 = INIT1
T3694:	133 = NOR(135, 136)
T3695:	134 = INIT1
T3696:	134 = NOR(106, 133)
T3697:	135 = INIT1
T3698:	135 = NOR(106, 134)
T3699:	136 = INIT1
T3700:	136 = NOR(133, 134)
T3701:	137 = INIT1
T3702:	137 = NOR(135, 136)
T3703:	135 = INIT1
T3704:	135 = NOR(137, 132)
T3705:	136 = INIT1
T3706:	136 = NOR(135, 137)
T3707:	137 = INIT1
T3708:	137 = NOR(135, 132)
T3709:	106 = INIT1
T3710:	106 = NOR(137, 136)
T3711:	132 = INIT1
T3712:	132 = NOR(134, 135)
T3713:	134 = INIT1
T3714:	134 = NOT(51)
T3715:	135 = INIT1
T3716:	135 = NOR(51, 92)
T3717:	136 = INIT1
T3718:	136 = NOR(134, 129)
T3719:	133 = INIT1
T3720:	133 = NOR(135, 136)
T3721:	134 = INIT1
T3722:	134 = NOR(107, 133)
T3723:	135 = INIT1
T3724:	135 = NOR(107, 134)
T3725:	136 = INIT1
T3726:	136 = NOR(133, 134)
T3727:	137 = INIT1
T3728:	137 = NOR(135, 136)
T3729:	135 = INIT1
T3730:	135 = NOR(137, 132)
T3731:	136 = INIT1
T3732:	136 = NOR(135, 137)
T3733:	137 = INIT1
T3734:	137 = NOR(135, 132)
T3735:	107 = INIT1
T3736:	107 = NOR(137, 136)
T3737:	132 = INIT1
T3738:	132 = NOR(134, 135)
T3739:	134 = INIT1
T3740:	134 = NOT(52)
T3741:	135 = INIT1
T3742:	135 = NOR(52, 92)
T3743:	136 = INIT1
T3744:	136 = NOR(134, 129)
T3745:	133 = INIT1
T3746:	133 = NOR(135, 136)
T3747:	134 = INIT1
T3748:	134 = NOR(108, 133)
T3749:	135 = INIT1
T3750:	135 = NOR(108, 134)
T3751:	136 = INIT1
T3752:	136 = NOR(133, 134)
T3753:	137 = INIT1
T3754:	137 = NOR(135, 136)
T3755:	135 = INIT1
T3756:	135 = NOR(137, 132)
T3757:	136 = INIT1
T3758:	136 = NOR(135, 137)
T3759:	137 = INIT1
T3760:	137 = NOR(135, 132)
T3761:	108 = INIT1
T3762:	108 = NOR(137, 136)
T3763:	132 = INIT1
T3764:	132 = NOR(134, 135)
T3765:	134 = INIT1
T3766:	134 = NOT(53)
T3767:	135 = INIT1
T3768:	135 = NOR(53, 92)
T3769:	136 = INIT1
T3770:	136 = NOR(134, 129)
T3771:	133 = INIT1
T3772:	133 = NOR(135, 136)
T3773:	134 = INIT1
T3774:	134 = NOR(109, 133)
T3775:	135 = INIT1
T3776:	135 = NOR(109, 134)
T3777:	136 = INIT1
T3778:	136 = NOR(133, 134)
T3779:	137 = INIT1
T3780:	137 = NOR(135, 136)
T3781:	135 = INIT1
T3782:	135 = NOR(137, 132)
T3783:	136 = INIT1
T3784:	136 = NOR(135, 137)
T3785:	137 = INIT1
T3786:	137 = NOR(135, 132)
T3787:	109 = INIT1
T3788:	109 = NOR(137, 136)
T3789:	132 = INIT1
T3790:	132 = NOR(134, 135)
T3791:	134 = INIT1
T3792:	134 = NOT(54)
T3793:	135 = INIT1
T3794:	135 = NOR(54, 92)
T3795:	136 = INIT1
T3796:	136 = NOR(134, 129)
T3797:	133 = INIT1
T3798:	133 = NOR(135, 136)
T3799:	134 = INIT1
T3800:	134 = NOR(110, 133)
T3801:	135 = INIT1
T3802:	135 = NOR(110, 134)
T3803:	136 = INIT1
T3804:	136 = NOR(133, 134)
T3805:	137 = INIT1
T3806:	137 = NOR(135, 136)
T3807:	135 = INIT1
T3808:	135 = NOR(137, 132)
T3809:	136 = INIT1
T3810:	136 = NOR(135, 137)
T3811:	137 = INIT1
T3812:	137 = NOR(135, 132)
T3813:	110 = INIT1
T3814:	110 = NOR(137, 136)
T3815:	132 = INIT1
T3816:	132 = NOR(134, 135)
T3817:	134 = INIT1
T3818:	134 = NOT(55)
T3819:	135 = INIT1
T3820:	135 = NOR(55, 92)
T3821:	136 = INIT1
T3822:	136 = NOR(134, 129)
T3823:	133 = INIT1
T3824:	133 = NOR(135, 136)
T3825:	134 = INIT1
T3826:	134 = NOR(111, 133)
T3827:	135 = INIT1
T3828:	135 = NOR(111, 134)
T3829:	136 = INIT1
T3830:	136 = NOR(133, 134)
T3831:	137 = INIT1
T3832:	137 = NOR(135, 136)
T3833:	135 = INIT1
T3834:	135 = NOR(137, 132)
T3835:	136 = INIT1
T3836:	136 = NOR(135, 137)
T3837:	137 = INIT1
T3838:	137 = NOR(135, 132)
T3839:	111 = INIT1
T3840:	111 = NOR(137, 136)
T3841:	132 = INIT1
T3842:	132 = NOR(134, 135)
T3843:	134 = INIT1
T3844:	134 = NOT(56)
T3845:	135 = INIT1
T3846:	135 = NOR(56, 92)
T3847:	136 = INIT1
T3848:	136 = NOR(134, 129)
T3849:	133 = INIT1
T3850:	133 = NOR(135, 136)
T3851:	134 = INIT1
T3852:	134 = NOR(112, 133)
T3853:	135 = INIT1
T3854:	135 = NOR(112, 134)
T3855:	136 = INIT1
T3856:	136 = NOR(133, 134)
T3857:	137 = INIT1
T3858:	137 = NOR(135, 136)
T3859:	135 = INIT1
T3860:	135 = NOR(137, 132)
T3861:	136 = INIT1
T3862:	136 = NOR(135, 137)
T3863:	137 = INIT1
T3864:	137 = NOR(135, 132)
T3865:	112 = INIT1
T3866:	112 = NOR(137, 136)
T3867:	132 = INIT1
T3868:	132 = NOR(134, 135)
T3869:	134 = INIT1
T3870:	134 = NOT(57)
T3871:	135 = INIT1
T3872:	135 = NOR(57, 92)
T3873:	136 = INIT1
T3874:	136 = NOR(134, 129)
T3875:	133 = INIT1
T3876:	133 = NOR(135, 136)
T3877:	134 = INIT1
T3878:	134 = NOR(113, 133)
T3879:	135 = INIT1
T3880:	135 = NOR(113, 134)
T3881:	136 = INIT1
T3882:	136 = NOR(133, 134)
T3883:	137 = INIT1
T3884:	137 = NOR(135, 136)
T3885:	135 = INIT1
T3886:	135 = NOR(137, 132)
T3887:	136 = INIT1
T3888:	136 = NOR(135, 137)
T3889:	137 = INIT1
T3890:	137 = NOR(135, 132)
T3891:	113 = INIT1
T3892:	113 = NOR(137, 136)
T3893:	132 = INIT1
T3894:	132 = NOR(134, 135)
T3895:	134 = INIT1
T3896:	134 = NOT(58)
T3897:	135 = INIT1
T3898:	135 = NOR(58, 92)
T3899:	136 = INIT1
T3900:	136 = NOR(134, 129)
T3901:	133 = INIT1
T3902:	133 = NOR(135, 136)
T3903:	134 = INIT1
T3904:	134 = NOR(114, 133)
T3905:	135 = INIT1
T3906:	135 = NOR(114, 134)
T3907:	136 = INIT1
T3908:	136 = NOR(133, 134)
T3909:	137 = INIT1
T3910:	137 = NOR(135, 136)
T3911:	135 = INIT1
T3912:	135 = NOR(137, 132)
T3913:	136 = INIT1
T3914:	136 = NOR(135, 137)
T3915:	137 = INIT1
T3916:	137 = NOR(135, 132)
T3917:	114 = INIT1
T3918:	114 = NOR(137, 136)
T3919:	132 = INIT1
T3920:	132 = NOR(134, 135)
T3921:	134 = INIT1
T3922:	134 = NOT(59)
T3923:	135 = INIT1
T3924:	135 = NOR(59, 92)
T3925:	136 = INIT1
T3926:	136 = NOR(134, 129)
T3927:	133 = INIT1
T3928:	133 = NOR(135, 136)
T3929:	134 = INIT1
T3930:	134 = NOR(115, 133)
T3931:	135 = INIT1
T3932:	135 = NOR(115, 134)
T3933:	136 = INIT1
T3934:	136 = NOR(133, 134)
T3935:	137 = INIT1
T3936:	137 = NOR(135, 136)
T3937:	135 = INIT1
T3938:	135 = NOR(137, 132)
T3939:	136 = INIT1
T3940:	136 = NOR(135, 137)
T3941:	137 = INIT1
T3942:	137 = NOR(135, 132)
T3943:	115 = INIT1
T3944:	115 = NOR(137, 136)
T3945:	132 = INIT1
T3946:	132 = NOR(134, 135)
T3947:	134 = INIT1
T3948:	134 = NOT(60)
T3949:	135 = INIT1
T3950:	135 = NOR(60, 92)
T3951:	136 = INIT1
T3952:	136 = NOR(134, 129)
T3953:	133 = INIT1
T3954:	133 = NOR(135, 136)
T3955:	134 = INIT1
T3956:	134 = NOR(116, 133)
T3957:	135 = INIT1
T3958:	135 = NOR(116, 134)
T3959:	136 = INIT1
T3960:	136 = NOR(133, 134)
T3961:	137 = INIT1
T3962:	137 = NOR(135, 136)
T3963:	135 = INIT1
T3964:	135 = NOR(137, 132)
T3965:	136 = INIT1
T3966:	136 = NOR(135, 137)
T3967:	137 = INIT1
T3968:	137 = NOR(135, 132)
T3969:	116 = INIT1
T3970:	116 = NOR(137, 136)
T3971:	132 = INIT1
T3972:	132 = NOR(134, 135)
T3973:	134 = INIT1
T3974:	134 = NOT(61)
T3975:	135 = INIT1
T3976:	135 = NOR(61, 92)
T3977:	136 = INIT1
T3978:	136 = NOR(134, 129)
T3979:	133 = INIT1
T3980:	133 = NOR(135, 136)
T3981:	134 = INIT1
T3982:	134 = NOR(117, 133)
T3983:	135 = INIT1
T3984:	135 = NOR(117, 134)
T3985:	136 = INIT1
T3986:	136 = NOR(133, 134)
T3987:	137 = INIT1
T3988:	137 = NOR(135, 136)
T3989:	135 = INIT1
T3990:	135 = NOR(137, 132)
T3991:	136 = INIT1
T3992:	136 = NOR(135, 137)
T3993:	137 = INIT1
T3994:	137 = NOR(135, 132)
T3995:	117 = INIT1
T3996:	117 = NOR(137, 136)
T3997:	132 = INIT1
T3998:	132 = NOR(134, 135)
T3999:	134 = INIT1
T4000:	134 = NOT(62)
T4001:	135 = INIT1
T4002:	135 = NOR(62, 92)
T4003:	136 = INIT1
T4004:	136 = NOR(134, 129)
T4005:	133 = INIT1
T4006:	133 = NOR(135, 136)
T4007:	134 = INIT1
T4008:	134 = NOR(118, 133)
T4009:	135 = INIT1
T4010:	135 = NOR(118, 134)
T4011:	136 = INIT1
T4012:	136 = NOR(133, 134)
T4013:	137 = INIT1
T4014:	137 = NOR(135, 136)
T4015:	135 = INIT1
T4016:	135 = NOR(137, 132)
T4017:	136 = INIT1
T4018:	136 = NOR(135, 137)
T4019:	137 = INIT1
T4020:	137 = NOR(135, 132)
T4021:	118 = INIT1
T4022:	118 = NOR(137, 136)
T4023:	132 = INIT1
T4024:	132 = NOR(134, 135)
T4025:	134 = INIT1
T4026:	134 = NOT(63)
T4027:	135 = INIT1
T4028:	135 = NOR(63, 92)
T4029:	136 = INIT1
T4030:	136 = NOR(134, 129)
T4031:	133 = INIT1
T4032:	133 = NOR(135, 136)
T4033:	134 = INIT1
T4034:	134 = NOR(119, 133)
T4035:	135 = INIT1
T4036:	135 = NOR(119, 134)
T4037:	136 = INIT1
T4038:	136 = NOR(133, 134)
T4039:	137 = INIT1
T4040:	137 = NOR(135, 136)
T4041:	135 = INIT1
T4042:	135 = NOR(137, 132)
T4043:	136 = INIT1
T4044:	136 = NOR(135, 137)
T4045:	137 = INIT1
T4046:	137 = NOR(135, 132)
T4047:	119 = INIT1
T4048:	119 = NOR(137, 136)
T4049:	132 = INIT1
T4050:	132 = NOR(134, 135)
T4051:	134 = INIT1
T4052:	134 = NOT(97)
T4053:	135 = INIT1
T4054:	135 = NOR(97, 92)
T4055:	136 = INIT1
T4056:	136 = NOR(134, 129)
T4057:	133 = INIT1
T4058:	133 = NOR(135, 136)
T4059:	134 = INIT1
T4060:	134 = NOR(120, 133)
T4061:	135 = INIT1
T4062:	135 = NOR(120, 134)
T4063:	136 = INIT1
T4064:	136 = NOR(133, 134)
T4065:	137 = INIT1
T4066:	137 = NOR(135, 136)
T4067:	135 = INIT1
T4068:	135 = NOR(137, 132)
T4069:	136 = INIT1
T4070:	136 = NOR(135, 137)
T4071:	137 = INIT1
T4072:	137 = NOR(135, 132)
T4073:	120 = INIT1
T4074:	120 = NOR(137, 136)
T4075:	132 = INIT1
T4076:	132 = NOR(134, 135)
T4077:	134 = INIT1
T4078:	134 = NOT(99)
T4079:	135 = INIT1
T4080:	135 = NOR(99, 92)
T4081:	136 = INIT1
T4082:	136 = NOR(134, 129)
T4083:	133 = INIT1
T4084:	133 = NOR(135, 136)
T4085:	134 = INIT1
T4086:	134 = NOR(121, 133)
T4087:	135 = INIT1
T4088:	135 = NOR(121, 134)
T4089:	136 = INIT1
T4090:	136 = NOR(133, 134)
T4091:	137 = INIT1
T4092:	137 = NOR(135, 136)
T4093:	135 = INIT1
T4094:	135 = NOR(137, 132)
T4095:	136 = INIT1
T4096:	136 = NOR(135, 137)
T4097:	137 = INIT1
T4098:	137 = NOR(135, 132)
T4099:	121 = INIT1
T4100:	121 = NOR(137, 136)
T4101:	132 = INIT1
T4102:	132 = NOR(134, 135)
T4103:	134 = INIT1
T4104:	134 = NOT(99)
T4105:	135 = INIT1
T4106:	135 = NOR(99, 92)
T4107:	136 = INIT1
T4108:	136 = NOR(134, 129)
T4109:	133 = INIT1
T4110:	133 = NOR(135, 136)
T4111:	134 = INIT1
T4112:	134 = NOR(122, 133)
T4113:	135 = INIT1
T4114:	135 = NOR(122, 134)
T4115:	136 = INIT1
T4116:	136 = NOR(133, 134)
T4117:	137 = INIT1
T4118:	137 = NOR(135, 136)
T4119:	135 = INIT1
T4120:	135 = NOR(137, 132)
T4121:	136 = INIT1
T4122:	136 = NOR(135, 137)
T4123:	137 = INIT1
T4124:	137 = NOR(135, 132)
T4125:	122 = INIT1
T4126:	122 = NOR(137, 136)
T4127:	132 = INIT1
T4128:	132 = NOR(134, 135)
T4129:	133 = INIT1
T4130:	133 = NOR(123, 92)
T4131:	134 = INIT1
T4132:	134 = NOR(123, 133)
T4133:	135 = INIT1
T4134:	135 = NOR(92, 133)
T4135:	136 = INIT1
T4136:	136 = NOR(134, 135)
T4137:	134 = INIT1
T4138:	134 = NOR(136, 132)
T4139:	135 = INIT1
T4140:	135 = NOR(134, 136)
T4141:	136 = INIT1
T4142:	136 = NOR(134, 132)
T4143:	123 = INIT1
T4144:	123 = NOR(136, 135)
T4145:	132 = INIT1
T4146:	132 = NOR(133, 134)
T4147:	133 = INIT1
T4148:	133 = NOR(124, 92)
T4149:	134 = INIT1
T4150:	134 = NOR(124, 133)
T4151:	135 = INIT1
T4152:	135 = NOR(92, 133)
T4153:	136 = INIT1
T4154:	136 = NOR(134, 135)
T4155:	134 = INIT1
T4156:	134 = NOR(136, 132)
T4157:	135 = INIT1
T4158:	135 = NOR(134, 136)
T4159:	136 = INIT1
T4160:	136 = NOR(134, 132)
T4161:	124 = INIT1
T4162:	124 = NOR(136, 135)
T4163:	132 = INIT1
T4164:	132 = NOR(133, 134)
T4165:	91  = INIT1
T4166:	91  = NOT(124)
T4167:	129 = INIT1
T4168:	129 = NOT(91)
T4169:	134 = INIT1
T4170:	134 = NOT(41)
T4171:	135 = INIT1
T4172:	135 = NOR(41, 91)
T4173:	136 = INIT1
T4174:	136 = NOR(134, 129)
T4175:	133 = INIT1
T4176:	133 = NOR(135, 136)
T4177:	134 = INIT1
T4178:	134 = NOR(99, 133)
T4179:	135 = INIT1
T4180:	135 = NOR(99, 134)
T4181:	136 = INIT1
T4182:	136 = NOR(133, 134)
T4183:	137 = INIT1
T4184:	137 = NOR(135, 136)
T4185:	135 = INIT1
T4186:	135 = NOR(137, 91)
T4187:	136 = INIT1
T4188:	136 = NOR(135, 137)
T4189:	137 = INIT1
T4190:	137 = NOR(135, 91)
T4191:	124 = INIT1
T4192:	124 = NOR(137, 136)
T4193:	132 = INIT1
T4194:	132 = NOR(134, 135)
T4195:	134 = INIT1
T4196:	134 = NOT(42)
T4197:	135 = INIT1
T4198:	135 = NOR(42, 91)
T4199:	136 = INIT1
T4200:	136 = NOR(134, 129)
T4201:	133 = INIT1
T4202:	133 = NOR(135, 136)
T4203:	134 = INIT1
T4204:	134 = NOR(125, 133)
T4205:	135 = INIT1
T4206:	135 = NOR(125, 134)
T4207:	136 = INIT1
T4208:	136 = NOR(133, 134)
T4209:	137 = INIT1
T4210:	137 = NOR(135, 136)
T4211:	135 = INIT1
T4212:	135 = NOR(137, 132)
T4213:	136 = INIT1
T4214:	136 = NOR(135, 137)
T4215:	137 = INIT1
T4216:	137 = NOR(135, 132)
T4217:	125 = INIT1
T4218:	125 = NOR(137, 136)
T4219:	132 = INIT1
T4220:	132 = NOR(134, 135)
T4221:	134 = INIT1
T4222:	134 = NOT(43)
T4223:	135 = INIT1
T4224:	135 = NOR(43, 91)
T4225:	136 = INIT1
T4226:	136 = NOR(134, 129)
T4227:	133 = INIT1
T4228:	133 = NOR(135, 136)
T4229:	134 = INIT1
T4230:	134 = NOR(126, 133)
T4231:	135 = INIT1
T4232:	135 = NOR(126, 134)
T4233:	136 = INIT1
T4234:	136 = NOR(133, 134)
T4235:	137 = INIT1
T4236:	137 = NOR(135, 136)
T4237:	135 = INIT1
T4238:	135 = NOR(137, 132)
T4239:	136 = INIT1
T4240:	136 = NOR(135, 137)
T4241:	137 = INIT1
T4242:	137 = NOR(135, 132)
T4243:	126 = INIT1
T4244:	126 = NOR(137, 136)
T4245:	132 = INIT1
T4246:	132 = NOR(134, 135)
T4247:	134 = INIT1
T4248:	134 = NOT(44)
T4249:	135 = INIT1
T4250:	135 = NOR(44, 91)
T4251:	136 = INIT1
T4252:	136 = NOR(134, 129)
T4253:	133 = INIT1
T4254:	133 = NOR(135, 136)
T4255:	134 = INIT1
T4256:	134 = NOR(127, 133)
T4257:	135 = INIT1
T4258:	135 = NOR(127, 134)
T4259:	136 = INIT1
T4260:	136 = NOR(133, 134)
T4261:	137 = INIT1
T4262:	137 = NOR(135, 136)
T4263:	135 = INIT1
T4264:	135 = NOR(137, 132)
T4265:	136 = INIT1
T4266:	136 = NOR(135, 137)
T4267:	137 = INIT1
T4268:	137 = NOR(135, 132)
T4269:	127 = INIT1
T4270:	127 = NOR(137, 136)
T4271:	132 = INIT1
T4272:	132 = NOR(134, 135)
T4273:	134 = INIT1
T4274:	134 = NOT(45)
T4275:	135 = INIT1
T4276:	135 = NOR(45, 91)
T4277:	136 = INIT1
T4278:	136 = NOR(134, 129)
T4279:	133 = INIT1
T4280:	133 = NOR(135, 136)
T4281:	134 = INIT1
T4282:	134 = NOR(128, 133)
T4283:	135 = INIT1
T4284:	135 = NOR(128, 134)
T4285:	136 = INIT1
T4286:	136 = NOR(133, 134)
T4287:	137 = INIT1
T4288:	137 = NOR(135, 136)
T4289:	135 = INIT1
T4290:	135 = NOR(137, 132)
T4291:	136 = INIT1
T4292:	136 = NOR(135, 137)
T4293:	137 = INIT1
T4294:	137 = NOR(135, 132)
T4295:	128 = INIT1
T4296:	128 = NOR(137, 136)
T4297:	132 = INIT1
T4298:	132 = NOR(134, 135)
T4299:	134 = INIT1
T4300:	134 = NOT(46)
T4301:	135 = INIT1
T4302:	135 = NOR(46, 91)
T4303:	136 = INIT1
T4304:	136 = NOR(134, 129)
T4305:	133 = INIT1
T4306:	133 = NOR(135, 136)
T4307:	134 = INIT1
T4308:	134 = NOR(130, 133)
T4309:	135 = INIT1
T4310:	135 = NOR(130, 134)
T4311:	136 = INIT1
T4312:	136 = NOR(133, 134)
T4313:	137 = INIT1
T4314:	137 = NOR(135, 136)
T4315:	135 = INIT1
T4316:	135 = NOR(137, 132)
T4317:	136 = INIT1
T4318:	136 = NOR(135, 137)
T4319:	137 = INIT1
T4320:	137 = NOR(135, 132)
T4321:	130 = INIT1
T4322:	130 = NOR(137, 136)
T4323:	132 = INIT1
T4324:	132 = NOR(134, 135)
T4325:	134 = INIT1
T4326:	134 = NOT(47)
T4327:	135 = INIT1
T4328:	135 = NOR(47, 91)
T4329:	136 = INIT1
T4330:	136 = NOR(134, 129)
T4331:	133 = INIT1
T4332:	133 = NOR(135, 136)
T4333:	134 = INIT1
T4334:	134 = NOR(131, 133)
T4335:	135 = INIT1
T4336:	135 = NOR(131, 134)
T4337:	136 = INIT1
T4338:	136 = NOR(133, 134)
T4339:	137 = INIT1
T4340:	137 = NOR(135, 136)
T4341:	135 = INIT1
T4342:	135 = NOR(137, 132)
T4343:	136 = INIT1
T4344:	136 = NOR(135, 137)
T4345:	137 = INIT1
T4346:	137 = NOR(135, 132)
T4347:	131 = INIT1
T4348:	131 = NOR(137, 136)
T4349:	132 = INIT1
T4350:	132 = NOR(134, 135)
T4351:	134 = INIT1
T4352:	134 = NOT(48)
T4353:	135 = INIT1
T4354:	135 = NOR(48, 91)
T4355:	136 = INIT1
T4356:	136 = NOR(134, 129)
T4357:	133 = INIT1
T4358:	133 = NOR(135, 136)
T4359:	134 = INIT1
T4360:	134 = NOR(103, 133)
T4361:	135 = INIT1
T4362:	135 = NOR(103, 134)
T4363:	136 = INIT1
T4364:	136 = NOR(133, 134)
T4365:	137 = INIT1
T4366:	137 = NOR(135, 136)
T4367:	135 = INIT1
T4368:	135 = NOR(137, 132)
T4369:	136 = INIT1
T4370:	136 = NOR(135, 137)
T4371:	137 = INIT1
T4372:	137 = NOR(135, 132)
T4373:	103 = INIT1
T4374:	103 = NOR(137, 136)
T4375:	132 = INIT1
T4376:	132 = NOR(134, 135)
T4377:	134 = INIT1
T4378:	134 = NOT(49)
T4379:	135 = INIT1
T4380:	135 = NOR(49, 91)
T4381:	136 = INIT1
T4382:	136 = NOR(134, 129)
T4383:	133 = INIT1
T4384:	133 = NOR(135, 136)
T4385:	134 = INIT1
T4386:	134 = NOR(104, 133)
T4387:	135 = INIT1
T4388:	135 = NOR(104, 134)
T4389:	136 = INIT1
T4390:	136 = NOR(133, 134)
T4391:	137 = INIT1
T4392:	137 = NOR(135, 136)
T4393:	135 = INIT1
T4394:	135 = NOR(137, 132)
T4395:	136 = INIT1
T4396:	136 = NOR(135, 137)
T4397:	137 = INIT1
T4398:	137 = NOR(135, 132)
T4399:	104 = INIT1
T4400:	104 = NOR(137, 136)
T4401:	132 = INIT1
T4402:	132 = NOR(134, 135)
T4403:	134 = INIT1
T4404:	134 = NOT(50)
T4405:	135 = INIT1
T4406:	135 = NOR(50, 91)
T4407:	136 = INIT1
T4408:	136 = NOR(134, 129)
T4409:	133 = INIT1
T4410:	133 = NOR(135, 136)
T4411:	134 = INIT1
T4412:	134 = NOR(105, 133)
T4413:	135 = INIT1
T4414:	135 = NOR(105, 134)
T4415:	136 = INIT1
T4416:	136 = NOR(133, 134)
T4417:	137 = INIT1
T4418:	137 = NOR(135, 136)
T4419:	135 = INIT1
T4420:	135 = NOR(137, 132)
T4421:	136 = INIT1
T4422:	136 = NOR(135, 137)
T4423:	137 = INIT1
T4424:	137 = NOR(135, 132)
T4425:	105 = INIT1
T4426:	105 = NOR(137, 136)
T4427:	132 = INIT1
T4428:	132 = NOR(134, 135)
T4429:	134 = INIT1
T4430:	134 = NOT(51)
T4431:	135 = INIT1
T4432:	135 = NOR(51, 91)
T4433:	136 = INIT1
T4434:	136 = NOR(134, 129)
T4435:	133 = INIT1
T4436:	133 = NOR(135, 136)
T4437:	134 = INIT1
T4438:	134 = NOR(106, 133)
T4439:	135 = INIT1
T4440:	135 = NOR(106, 134)
T4441:	136 = INIT1
T4442:	136 = NOR(133, 134)
T4443:	137 = INIT1
T4444:	137 = NOR(135, 136)
T4445:	135 = INIT1
T4446:	135 = NOR(137, 132)
T4447:	136 = INIT1
T4448:	136 = NOR(135, 137)
T4449:	137 = INIT1
T4450:	137 = NOR(135, 132)
T4451:	106 = INIT1
T4452:	106 = NOR(137, 136)
T4453:	132 = INIT1
T4454:	132 = NOR(134, 135)
T4455:	134 = INIT1
T4456:	134 = NOT(52)
T4457:	135 = INIT1
T4458:	135 = NOR(52, 91)
T4459:	136 = INIT1
T4460:	136 = NOR(134, 129)
T4461:	133 = INIT1
T4462:	133 = NOR(135, 136)
T4463:	134 = INIT1
T4464:	134 = NOR(107, 133)
T4465:	135 = INIT1
T4466:	135 = NOR(107, 134)
T4467:	136 = INIT1
T4468:	136 = NOR(133, 134)
T4469:	137 = INIT1
T4470:	137 = NOR(135, 136)
T4471:	135 = INIT1
T4472:	135 = NOR(137, 132)
T4473:	136 = INIT1
T4474:	136 = NOR(135, 137)
T4475:	137 = INIT1
T4476:	137 = NOR(135, 132)
T4477:	107 = INIT1
T4478:	107 = NOR(137, 136)
T4479:	132 = INIT1
T4480:	132 = NOR(134, 135)
T4481:	134 = INIT1
T4482:	134 = NOT(53)
T4483:	135 = INIT1
T4484:	135 = NOR(53, 91)
T4485:	136 = INIT1
T4486:	136 = NOR(134, 129)
T4487:	133 = INIT1
T4488:	133 = NOR(135, 136)
T4489:	134 = INIT1
T4490:	134 = NOR(108, 133)
T4491:	135 = INIT1
T4492:	135 = NOR(108, 134)
T4493:	136 = INIT1
T4494:	136 = NOR(133, 134)
T4495:	137 = INIT1
T4496:	137 = NOR(135, 136)
T4497:	135 = INIT1
T4498:	135 = NOR(137, 132)
T4499:	136 = INIT1
T4500:	136 = NOR(135, 137)
T4501:	137 = INIT1
T4502:	137 = NOR(135, 132)
T4503:	108 = INIT1
T4504:	108 = NOR(137, 136)
T4505:	132 = INIT1
T4506:	132 = NOR(134, 135)
T4507:	134 = INIT1
T4508:	134 = NOT(54)
T4509:	135 = INIT1
T4510:	135 = NOR(54, 91)
T4511:	136 = INIT1
T4512:	136 = NOR(134, 129)
T4513:	133 = INIT1
T4514:	133 = NOR(135, 136)
T4515:	134 = INIT1
T4516:	134 = NOR(109, 133)
T4517:	135 = INIT1
T4518:	135 = NOR(109, 134)
T4519:	136 = INIT1
T4520:	136 = NOR(133, 134)
T4521:	137 = INIT1
T4522:	137 = NOR(135, 136)
T4523:	135 = INIT1
T4524:	135 = NOR(137, 132)
T4525:	136 = INIT1
T4526:	136 = NOR(135, 137)
T4527:	137 = INIT1
T4528:	137 = NOR(135, 132)
T4529:	109 = INIT1
T4530:	109 = NOR(137, 136)
T4531:	132 = INIT1
T4532:	132 = NOR(134, 135)
T4533:	134 = INIT1
T4534:	134 = NOT(55)
T4535:	135 = INIT1
T4536:	135 = NOR(55, 91)
T4537:	136 = INIT1
T4538:	136 = NOR(134, 129)
T4539:	133 = INIT1
T4540:	133 = NOR(135, 136)
T4541:	134 = INIT1
T4542:	134 = NOR(110, 133)
T4543:	135 = INIT1
T4544:	135 = NOR(110, 134)
T4545:	136 = INIT1
T4546:	136 = NOR(133, 134)
T4547:	137 = INIT1
T4548:	137 = NOR(135, 136)
T4549:	135 = INIT1
T4550:	135 = NOR(137, 132)
T4551:	136 = INIT1
T4552:	136 = NOR(135, 137)
T4553:	137 = INIT1
T4554:	137 = NOR(135, 132)
T4555:	110 = INIT1
T4556:	110 = NOR(137, 136)
T4557:	132 = INIT1
T4558:	132 = NOR(134, 135)
T4559:	134 = INIT1
T4560:	134 = NOT(56)
T4561:	135 = INIT1
T4562:	135 = NOR(56, 91)
T4563:	136 = INIT1
T4564:	136 = NOR(134, 129)
T4565:	133 = INIT1
T4566:	133 = NOR(135, 136)
T4567:	134 = INIT1
T4568:	134 = NOR(111, 133)
T4569:	135 = INIT1
T4570:	135 = NOR(111, 134)
T4571:	136 = INIT1
T4572:	136 = NOR(133, 134)
T4573:	137 = INIT1
T4574:	137 = NOR(135, 136)
T4575:	135 = INIT1
T4576:	135 = NOR(137, 132)
T4577:	136 = INIT1
T4578:	136 = NOR(135, 137)
T4579:	137 = INIT1
T4580:	137 = NOR(135, 132)
T4581:	111 = INIT1
T4582:	111 = NOR(137, 136)
T4583:	132 = INIT1
T4584:	132 = NOR(134, 135)
T4585:	134 = INIT1
T4586:	134 = NOT(57)
T4587:	135 = INIT1
T4588:	135 = NOR(57, 91)
T4589:	136 = INIT1
T4590:	136 = NOR(134, 129)
T4591:	133 = INIT1
T4592:	133 = NOR(135, 136)
T4593:	134 = INIT1
